,Date,Expiry,CE_short_en_date,PE_short_en_date,CE_long_en_date,PE_long_en_date,CE_short_ex_date,PE_short_ex_date,CE_long_ex_date,PE_long_ex_date,Fut_En_price,ATM_stk,CE_short_stk,PE_short_stk,CE_long_stk,PE_long_stk,CE_short_en_price,PE_short_en_price,CE_long_en_price,PE_long_en_price,CE_short_ex_price,PE_short_ex_price,CE_long_ex_price,PE_long_ex_price,TP/SL/SqOFF,Abs_return,Lot_size,Contracts,P&L,Capital,Return_pct,Cumulative_Returns,Peak,Drawdown
1,2017-01-02,2017-01-05,2017-01-02 10:30:59,2017-01-02 10:30:59,2017-01-02 10:30:59,2017-01-02 10:30:59,2017-01-02 11:20:59,2017-01-02 11:20:59,2017-01-02 11:20:59,2017-01-02 11:20:59,18067.95,18100,18100,18100,18500,17700,89.5,171.45,16.15,32.35,56.25,288.15,10.35,75.55,SL,-46.04999999999999,15.0,30.0,-20722.499999999996,979277.5,-2.07225,0.9792775,0.9792775,0.0
2,2017-01-03,2017-01-05,2017-01-03 10:30:59,2017-01-03 10:30:59,2017-01-03 10:30:59,2017-01-03 10:30:59,2017-01-03 15:20:59,2017-01-03 15:20:59,2017-01-03 15:20:59,2017-01-03 15:20:59,18107.0,18100,18100,18100,18500,17700,90.75,136.55,12.25,21.25,60.75,146.9,5.45,19.7,SqOFF,11.300000000000004,15.0,30.0,5085.000000000002,984362.5,0.5192603730811749,0.9843624999999999,0.9843624999999999,0.0
3,2017-01-04,2017-01-05,2017-01-04 10:30:59,2017-01-04 10:30:59,2017-01-04 10:30:59,2017-01-04 10:30:59,2017-01-04 15:20:59,2017-01-04 15:20:59,2017-01-04 15:20:59,2017-01-04 15:20:59,18048.05,18000,18000,18000,18400,17600,94.3,82.5,6.3,6.0,27.95,125.95,0.95,4.65,SqOFF,16.19999999999999,15.0,31.0,7532.9999999999945,991895.5,0.7652668605315618,0.9918954999999998,0.9918954999999998,0.0
4,2017-01-05,2017-01-05,2017-01-05 10:30:59,2017-01-05 10:30:59,2017-01-05 10:30:59,2017-01-05 10:30:59,2017-01-05 15:11:59,2017-01-05 15:11:59,2017-01-05 15:13:59,2017-01-05 15:22:59,18079.7,18100,18100,18100,18500,17700,20.25,78.8,0.1,0.35,17.95,0.35,0.05,0.05,TP,80.4,15.0,32.0,38592.0,1030487.5,3.890732441068641,1.0304874999999998,1.0304874999999998,0.0
5,2017-01-06,2017-01-12,2017-01-06 10:30:59,2017-01-06 10:30:59,2017-01-06 10:30:59,2017-01-06 10:30:59,2017-01-06 15:20:59,2017-01-06 15:20:59,2017-01-06 15:20:59,2017-01-06 15:20:59,18340.0,18300,18300,18300,18700,17900,129.0,137.0,19.5,30.55,108.7,144.0,12.65,31.35,SqOFF,7.249999999999998,15.0,30.0,3262.499999999999,1033750.0,0.31659772680406106,1.0337499999999997,1.0337499999999997,0.0
6,2017-01-09,2017-01-12,2017-01-09 10:30:59,2017-01-09 10:30:59,2017-01-09 10:30:59,2017-01-09 10:30:59,2017-01-09 15:20:59,2017-01-09 15:20:59,2017-01-09 15:20:59,2017-01-09 15:20:59,18359.1,18400,18400,18400,18800,18000,77.95,160.0,4.6,30.6,66.3,170.0,3.25,28.1,SqOFF,-2.199999999999994,15.0,31.0,-1022.9999999999973,1032727.0,-0.09896009673518716,1.0327269999999997,1.0337499999999997,-0.09896009673518708
7,2017-01-10,2017-01-12,2017-01-10 10:30:59,2017-01-10 10:30:59,2017-01-10 10:30:59,2017-01-10 10:30:59,2017-01-10 15:20:59,2017-01-10 15:20:59,2017-01-10 15:20:59,2017-01-10 15:20:59,18361.75,18400,18400,18400,18800,18000,64.0,135.9,1.7,14.55,85.5,78.7,2.5,7.6,SqOFF,29.549999999999997,15.0,32.0,14183.999999999998,1046911.0,1.3734510669324997,1.0469109999999997,1.0469109999999997,0.0
8,2017-01-11,2017-01-12,2017-01-11 10:30:59,2017-01-11 10:30:59,2017-01-11 10:30:59,2017-01-11 10:30:59,2017-01-11 13:12:59,2017-01-11 13:12:59,2017-01-11 13:12:59,2017-01-11 13:12:59,18625.9,18600,18600,18600,19000,18200,58.4,82.65,0.95,3.65,172.0,16.0,9.55,1.55,SL,-40.44999999999999,15.0,33.0,-20022.749999999996,1026888.25,-1.9125551264625167,1.0268882499999998,1.0469109999999997,-1.912555126462505
9,2017-01-12,2017-01-12,2017-01-12 10:30:59,2017-01-12 10:30:59,2017-01-12 10:31:59,2017-01-12 10:30:59,2017-01-12 15:01:59,2017-01-12 15:01:59,2017-01-12 14:47:59,2017-01-12 15:01:59,18860.0,18900,18900,18900,19300,18500,21.15,77.65,0.25,0.95,3.0,15.0,0.05,0.05,TP,79.7,15.0,32.0,38256.0,1065144.25,3.725429714479643,1.06514425,1.06514425,0.0
10,2017-01-13,2017-01-19,2017-01-13 10:30:59,2017-01-13 10:30:59,2017-01-13 10:30:59,2017-01-13 10:30:59,2017-01-13 15:20:59,2017-01-13 15:20:59,2017-01-13 15:20:59,2017-01-13 15:20:59,18830.0,18800,18800,18800,19200,18400,132.05,136.85,26.9,27.35,184.8,89.0,36.0,18.7,SqOFF,-4.450000000000006,15.0,31.0,-2069.2500000000027,1063075.0,-0.19426946162456424,1.063075,1.06514425,-0.1942694616245557
